ID,Question,Image_Count,Image_Descriptions,Review_Status,Reviewer_Comments
21,Welches ist das Wappen der Bundesrepublik Deutschland?,4,"Path: data/images/q21_1.png | Description: Das Bild zeigt das Wappen der Bundesrepublik Deutschland: ein goldener Adler auf schwarzem Grund mit roten Krallen und Schnabel. Die Flügel sind ausgebreitet, aber nicht vollständig geöffnet. | Context: Wappen der Bundesrepublik Deutschland ;; Path: data/images/q21_2.png | Description: Das Bild zeigt ein stilisiertes Kreuz auf weißem Grund. | Context: Stilisiertes Kreuz ;; Path: data/images/q21_3.png | Description: Das Bild zeigt ein stilisiertes Eisernes Kreuz in den Farben Silber und Blau. | Context: Eisernes Kreuz ;; Path: data/images/q21_4.png | Description: Das Bild zeigt das Wappen der Deutschen Demokratischen Republik (DDR): Hammer und Zirkel, umgeben von einem Ährenkranz, auf schwarz-rot-goldenem Grund. | Context: Wappen der DDR",,
216,Welches Symbol ist im Plenarsaal des Deutschen Bundestages zu sehen?,1,"Path: data/images/q216_1.png | Description: The image shows the inside of the Reichstag Building in Berlin, Germany. The focus is on the plenary hall, where members of parliament convene. The seating arrangement is semi-circular, with rows of desks facing a central podium.  A large eagle emblem, the Reichsadler, is prominently displayed on the wall behind the podium.  The hall is filled with people, presumably politicians and staff, and the overall atmosphere appears to be one of a formal gathering or session. | Context: This image shows the Plenarsaal (plenary hall) of the Deutscher Bundestag (German Parliament) with the Reichsadler (German imperial eagle) displayed prominently.",,
176,Wie waren die Besatzungszonen Deutschlands nach 1945 verteilt?,1,Path: data/images/q176_1.png | Description: A map of Germany divided into four colored zones. | Context: This map illustrates the four occupation zones of Germany after World War II.,,
209,Welches war das Wappen der Deutschen Demokratischen Republik?,4,Path: data/images/q209_1.png | Description: Das Bild zeigt das Wappen der Bundesrepublik Deutschland. Es ist ein goldener Adler auf schwarzem Grund. Der Adler hat einen roten Schnabel und rote Krallen. | Context: Bild 1: Wappen der Bundesrepublik Deutschland ;; Path: data/images/q209_2.png | Description: Das Bild zeigt ein Kreuz auf weißem Grund. Das Kreuz hat eine rote Umrandung. | Context: Bild 2: Kreuz ;; Path: data/images/q209_3.png | Description: Das Bild zeigt das Eiserne Kreuz. Es ist ein schwarzes Kreuz mit weißer Umrandung auf grauem Grund. | Context: Bild 3: Eisernes Kreuz ;; Path: data/images/q209_4.png | Description: Das Bild zeigt das Wappen der Deutschen Demokratischen Republik (DDR). Es ist ein Hammer und ein Zirkel in einem Ährenkranz auf rotem Grund. Der Ährenkranz ist goldfarben und der Hammer und Zirkel sind schwarz. | Context: Bild 4: Wappen der DDR,,
226,Welche ist die Flagge der Europäischen Union?,4,"Path: data/images/q226_1.png | Description: Flagge der Vereinigten Staaten von Amerika | Context: Diese Flagge hat dreizehn horizontale Streifen in den Farben Rot und Weiß, abwechselnd angeordnet. In der oberen linken Ecke befindet sich ein blaues Rechteck mit fünfzig kleinen weißen Sternen, die in einem regelmäßigen Muster angeordnet sind. ;; Path: data/images/q226_2.png | Description: Flagge der Europäischen Union | Context: Diese Flagge hat einen blauen Hintergrund mit zwölf goldenen Sternen, die in einem Kreis angeordnet sind. ;; Path: data/images/q226_3.png | Description: Flagge der Vereinten Nationen | Context: Diese Flagge hat einen hellblauen Hintergrund. In der Mitte befindet sich ein weißes Emblem, das eine Weltkarte in azimutaler äquidistanter Projektion zeigt, umgeben von zwei Olivenzweigen. ;; Path: data/images/q226_4.png | Description: Eine generische Flagge mit einem Kreis-Symbol | Context: Diese Flagge hat einen hellblauen Hintergrund. In der Mitte befindet sich ein weißer Kreis, der von einem orangefarbenen Kreis umgeben ist. Innerhalb des weißen Kreises befinden sich drei gekrümmte orangefarbene Formen, die an ein stilisiertes ""C"" erinnern.",,
235,Der damalige französische Staatspräsident François Mitterrand und der damalige deutsche Bundeskanzler Helmut Kohl gedenken in Verdun gemeinsam der Toten beider Weltkriege. Welches Ziel der Europäischen Union wird bei diesem Treffen deutlich?,1,"Path: data/images/q235_1.png | Description: Two men stand with their hands clasped, facing a crowd of onlookers.  They are in front of two wreaths on stands.  One wreath has the colors of the French flag, and the other has the colors of the German flag. | Context: François Mitterrand and Helmut Kohl commemorating the dead of both World Wars in Verdun.",,
301,Welches Wappen gehört zum Bundesland Baden-Württemberg?,4,"Path: data/images/q301_1.png | Description: Das Bild zeigt ein Wappen mit drei schwarzen Löwen auf gelbem Grund. | Context: Wappen von Baden ;; Path: data/images/q301_2.png | Description: Das Bild zeigt ein Wappen, das vertikal in drei Abschnitte unterteilt ist. Der linke Abschnitt zeigt drei Hirschgeweihe auf rotem Grund, der mittlere Abschnitt zeigt drei schwarze Löwen auf gelbem Grund, und der rechte Abschnitt zeigt drei schwarze Adler auf gelbem Grund. | Context: Wappen von Württemberg ;; Path: data/images/q301_3.png | Description: Das Bild zeigt ein Wappen mit drei schwarzen Löwen auf gelbem Grund und einem roten Balken darüber. | Context: Wappen von Baden-Württemberg ;; Path: data/images/q301_4.png | Description: Das Bild zeigt ein Wappen mit einem roten Turm auf weißem Grund. | Context: Wappen einer Stadt",,
308,Welches Bundesland ist Sachsen?,1,"Path: data/images/q308_1.png | Description: Germany map with one state highlighted in red. | Context: Map of Germany with Sachsen highlighted, indicating the correct answer.",,
311,Welches Wappen gehört zum Bundesland Baden-Württemberg?,4,"Path: data/images/q311_1.png | Description: Das Bild zeigt ein Wappen mit drei schwarzen Löwen auf gelbem Grund. | Context: Wappen von Baden ;; Path: data/images/q311_2.png | Description: Das Bild zeigt ein Wappen mit einer diagonal geteilten Fläche. Oben rot-weiße Rauten, unten drei schwarze Hirschstangen auf gelbem Grund. | Context: Wappen von Württemberg ;; Path: data/images/q311_3.png | Description: Das Bild zeigt ein Wappen mit drei schwarzen Löwen auf gelbem Grund und drei schwarzen Hirschstangen auf gelbem Grund nebeneinander. | Context: Wappen von Baden-Württemberg ;; Path: data/images/q311_4.png | Description: Das Bild zeigt ein Wappen mit drei Türmen auf rotem Grund. | Context: Wappen einer Stadt",,
328,Welches Bundesland ist Sachsen?,1,"Path: data/images/q328_1.png | Description: A map of Germany with a region highlighted in red. The rest of the map is in light blue. There are four numbers on the map, seemingly indicating different regions. | Context: This image shows a map of Germany with one of the states highlighted, as part of a question asking the user to identify the state of Sachsen.",,
