ID,Language,Why_A_Wrong,Why_B_Wrong,Why_C_Wrong,Review_Status,Reviewer_Comments
1,EN,"Religious freedom (Religionsfreiheit) protects the right to practice any religion or no religion, but it doesn't directly address criticizing the government. While important, it's not the reason people can openly criticize the government.","Paying taxes (Steuern zahlen) is a civic duty, but it doesn't grant the right to criticize the government.  Many countries have taxes but restrict free speech. The right to criticize stems from freedom of expression, not tax payments.","The right to vote (Wahlrecht) is crucial for democracy, allowing citizens to choose their representatives. However, it doesn't automatically guarantee the right to openly criticize the government. Some countries with voting rights still restrict free speech.",,
1,DE,"Religionsfreiheit schützt das Recht, jede oder keine Religion auszuüben, aber es betrifft nicht direkt die Kritik an der Regierung. Obwohl wichtig, ist es nicht der Grund, warum Menschen die Regierung offen kritisieren können.","Steuern zahlen ist eine Bürgerpflicht, aber es gewährt nicht das Recht, die Regierung zu kritisieren. Viele Länder haben Steuern, aber schränken die Meinungsfreiheit ein. Das Recht zu kritisieren ergibt sich aus der Meinungsfreiheit, nicht aus Steuerzahlungen.","Das Wahlrecht ist entscheidend für die Demokratie und ermöglicht es den Bürgern, ihre Vertreter zu wählen. Es garantiert jedoch nicht automatisch das Recht, die Regierung offen zu kritisieren. Einige Länder mit Wahlrecht schränken die Meinungsfreiheit immer noch ein.",,
1,TR,"Din özgürlüğü (Religionsfreiheit), herhangi bir dine veya hiçbir dine inanma hakkını korur, ancak hükümeti eleştirmeyi doğrudan ele almaz. Önemli olsa da, insanların hükümeti açıkça eleştirmelerinin nedeni bu değildir.","Vergi ödemek (Steuern zahlen) bir vatandaşlık görevidir, ancak hükümeti eleştirme hakkı vermez. Birçok ülkede vergiler vardır ancak ifade özgürlüğü kısıtlanmıştır. Eleştirme hakkı, vergi ödemelerinden değil, ifade özgürlüğünden kaynaklanır.","Oy hakkı (Wahlrecht), vatandaşların temsilcilerini seçmelerine olanak tanıyan demokrasi için çok önemlidir. Ancak, hükümeti açıkça eleştirme hakkını otomatik olarak garanti etmez. Oy hakkı olan bazı ülkeler hala ifade özgürlüğünü kısıtlamaktadır.",,
1,UK,"Релігійна свобода (Religionsfreiheit) захищає право сповідувати будь-яку релігію або не сповідувати жодної, але вона безпосередньо не стосується критики уряду. Хоча це важливо, це не є причиною, чому люди можуть відкрито критикувати уряд.","Сплата податків (Steuern zahlen) є громадянським обов'язком, але вона не надає права критикувати уряд. У багатьох країнах є податки, але обмежується свобода слова. Право критикувати випливає зі свободи слова, а не зі сплати податків.","Право голосу (Wahlrecht) є надзвичайно важливим для демократії, оскільки дозволяє громадянам обирати своїх представників. Однак воно не гарантує автоматично право відкрито критикувати уряд. У деяких країнах з правом голосу все ще обмежується свобода слова.",,
1,AR,حرية الدين (Religionsfreiheit) تحمي الحق في ممارسة أي دين أو عدم ممارسة أي دين، لكنها لا تتناول مباشرة انتقاد الحكومة. على الرغم من أهميتها، إلا أنها ليست السبب في قدرة الناس على انتقاد الحكومة علانيةً.,دفع الضرائب (Steuern zahlen) هو واجب مدني، لكنه لا يمنح الحق في انتقاد الحكومة. تفرض العديد من البلدان ضرائب لكنها تقيد حرية التعبير. ينبع الحق في الانتقاد من حرية التعبير، وليس من دفع الضرائب.,الحق في التصويت (Wahlrecht) أمر بالغ الأهمية للديمقراطية، حيث يسمح للمواطنين باختيار ممثليهم. ومع ذلك، فإنه لا يضمن تلقائيًا الحق في انتقاد الحكومة علانيةً. بعض البلدان التي لها حقوق التصويت لا تزال تقيد حرية التعبير.,,
21,EN,,"Image 2 shows the same eagle as Image 1, however, this question assumes only one correct answer, which is the official representation of the coat of arms.","Image 3 shows the emblem of the former German Democratic Republic (GDR, East Germany), featuring a hammer and compass surrounded by wheat. This is incorrect as it represents a different historical German state.",,
21,DE,,"Bild 2 zeigt denselben Adler wie Bild 1, aber diese Frage setzt nur eine richtige Antwort voraus, nämlich die offizielle Darstellung des Wappens.","Bild 3 zeigt das Emblem der ehemaligen Deutschen Demokratischen Republik (DDR, Ostdeutschland) mit Hammer und Zirkel, umgeben von Weizen. Dies ist falsch, da es einen anderen historischen deutschen Staat darstellt.",,
21,TR,,"Resim 2, Resim 1 ile aynı kartalı gösteriyor, ancak bu soruda yalnızca bir doğru cevap, yani armanın resmi temsili varsayılıyor.","Resim 3, buğdayla çevrili bir çekiç ve pergel içeren eski Alman Demokratik Cumhuriyeti'nin (DDR, Doğu Almanya) amblemini gösteriyor. Farklı bir tarihi Alman devletini temsil ettiği için yanlıştır.",,
21,UK,,"Зображення 2 показує того ж орла, що й зображення 1, проте це питання передбачає лише одну правильну відповідь, а саме офіційне зображення герба.","Зображення 3 показує емблему колишньої Німецької Демократичної Республіки (НДР, Східна Німеччина) з молотом та циркулем, оточеними пшеницею. Це неправильно, оскільки воно представляє іншу історичну німецьку державу.",,
21,AR,,تُظهر الصورة 2 نفس النسر الموجود في الصورة 1، ومع ذلك، يفترض هذا السؤال وجود إجابة واحدة صحيحة فقط، وهي التمثيل الرسمي لشعار النبالة.,تُظهر الصورة 3 شعار جمهورية ألمانيا الديمقراطية السابقة (GDR، ألمانيا الشرقية)، والذي يتميز بمطرقة وبوصلة محاطة بالقمح. هذا غير صحيح لأنه يمثل دولة ألمانية تاريخية مختلفة.,,
2,EN,"History lessons (Geschichtsunterricht) are compulsory for all students in Germany, regardless of their parents' wishes.",,"Civics/Politics lessons (Politikunterricht) are also a mandatory part of the German curriculum, ensuring all students learn about the political system.",,
2,DE,"Geschichtsunterricht ist für alle Schüler in Deutschland verpflichtend, unabhängig vom Wunsch der Eltern.",,"Politikunterricht ist ebenfalls ein obligatorischer Bestandteil des deutschen Lehrplans, um sicherzustellen, dass alle Schüler etwas über das politische System lernen.",,
2,TR,"Tarih dersleri (Geschichtsunterricht), ebeveynlerin isteklerinden bağımsız olarak Almanya'daki tüm öğrenciler için zorunludur.",,Vatandaşlık/Siyaset dersleri (Politikunterricht) de tüm öğrencilerin siyasi sistemi öğrenmesini sağlamak için Alman müfredatının zorunlu bir parçasıdır.,,
2,UK,"Уроки історії (Geschichtsunterricht) є обов'язковими для всіх учнів у Німеччині, незалежно від бажання батьків.",,"Уроки громадянської освіти/політики (Politikunterricht) також є обов'язковою частиною німецької навчальної програми, що гарантує, що всі учні дізнаються про політичну систему.",,
2,AR,دروس التاريخ (Geschichtsunterricht) إلزامية لجميع الطلاب في ألمانيا، بغض النظر عن رغبات والديهم.,,دروس التربية المدنية / السياسة (Politikunterricht) هي أيضًا جزء إلزامي من المنهج الألماني، مما يضمن أن يتعلم جميع الطلاب النظام السياسي.,,
3,EN,,The state is not above the law in a Rechtsstaat. It is bound by the same laws as its citizens. This principle ensures accountability and prevents tyranny.,"The rule of law applies to everyone in Germany, regardless of nationality.  Equal treatment under the law is a cornerstone of the German legal system.",,
3,DE,,Der Staat steht in einem Rechtsstaat nicht über dem Gesetz. Er ist an dieselben Gesetze gebunden wie seine Bürger. Dieses Prinzip gewährleistet Rechenschaftspflicht und verhindert Tyrannei.,"Die Rechtsstaatlichkeit gilt für alle in Deutschland, unabhängig von der Staatsangehörigkeit. Gleichbehandlung vor dem Gesetz ist ein Eckpfeiler des deutschen Rechtssystems.",,
3,TR,,"Devlet, bir hukuk devletinde yasanın üstünde değildir. Vatandaşlarıyla aynı yasalara bağlıdır. Bu ilke hesap verebilirliği sağlar ve zulmü önler.","Hukukun üstünlüğü, uyruğundan bağımsız olarak Almanya'daki herkes için geçerlidir. Yasa önünde eşitlik, Alman hukuk sisteminin temel taşıdır.",,
3,UK,,"Держава не стоїть над законом у правовій державі. Вона пов’язана тими самими законами, що й її громадяни. Цей принцип забезпечує підзвітність і запобігає тиранії.","Верховенство права поширюється на всіх у Німеччині, незалежно від громадянства. Рівність перед законом є наріжним каменем німецької правової системи.",,
3,AR,,الدولة ليست فوق القانون في دولة القانون. إنها ملزمة بنفس القوانين التي يخضع لها مواطنوها. هذا المبدأ يضمن المساءلة ويمنع الاستبداد.,ينطبق سيادة القانون على الجميع في ألمانيا، بغض النظر عن الجنسية. المساواة في المعاملة بموجب القانون هي حجر الزاوية في النظام القانوني الألماني.,,
4,EN,"Gun ownership (Waffenbesitz) is not a fundamental right in Germany, but a privilege regulated by strict laws.  The right to bear arms is not guaranteed in the Basic Law and is subject to licensing and restrictions.","""Faustrecht"" (right of the fist/vigilante justice) is the opposite of the rule of law.  It signifies using force to resolve disputes instead of legal processes, which is illegal and undermines the justice system.",,,
4,DE,"Waffenbesitz ist in Deutschland kein Grundrecht, sondern ein Privileg, das strengen Gesetzen unterliegt. Das Recht, Waffen zu tragen, ist im Grundgesetz nicht garantiert und erfordert Lizenzen und Genehmigungen.","Faustrecht ist das Gegenteil von Rechtsstaatlichkeit. Es bedeutet, Gewalt anzuwenden, um Streitigkeiten zu lösen, anstatt rechtliche Verfahren zu nutzen. Dies ist illegal und untergräbt das Justizsystem.",,,
4,TR,"Silah bulundurma (Waffenbesitz) Almanya'da temel bir hak değil, katı yasalarla düzenlenen bir ayrıcalıktır. Silah taşıma hakkı Temel Yasa'da garanti edilmez ve lisanslamaya ve kısıtlamalara tabidir.","""Faustrecht"" (yumruk hakkı/linç), hukukun üstünlüğünün tam tersidir. Yasal süreçler yerine anlaşmazlıkları çözmek için güç kullanmayı ifade eder ve bu da yasa dışıdır ve adalet sistemini baltalar.",,,
4,UK,"Володіння зброєю (Waffenbesitz) в Німеччині не є фундаментальним правом, а привілеєм, що регулюється суворими законами. Право на носіння зброї не гарантоване Основним законом і підлягає ліцензуванню та обмеженням.","""Faustrecht"" (право кулака/самосуд) є протилежністю верховенству права. Воно означає використання сили для вирішення спорів замість правових процедур, що є незаконним і підриває судову систему.",,,
