id,question,options,correct,category,difficulty
1,"In Deutschland dürfen Menschen offen etwas gegen die Regierung sagen, weil ...","[""hier Religionsfreiheit gilt."", ""die Menschen Steuern zahlen."", ""die Menschen das Wahlrecht haben."", ""hier Meinungsfreiheit gilt.""]",hier Meinungsfreiheit gilt.,Grundrechte,easy
2,"In Deutschland können Eltern bis zum 14. Lebensjahr ihres Kindes entscheiden, ob es in der Schule am ...","[""Geschichtsunterricht teilnimmt."", ""Religionsunterricht teilnimmt."", ""Politikunterricht teilnimmt."", ""Sprachunterricht teilnimmt.""]",Religionsunterricht teilnimmt.,Grundrechte,medium
3,Deutschland ist ein Rechtsstaat. Was ist damit gemeint?,"[""Alle Einwohnerinnen/Einwohner und der Staat m\u00fcssen sich an die Gesetze halten."", ""Der Staat muss sich nicht an die Gesetze halten."", ""Nur Deutsche m\u00fcssen die Gesetze befolgen."", ""Die Gerichte machen die Gesetze.""]",Alle Einwohnerinnen/Einwohner und der Staat müssen sich an die Gesetze halten.,Rechtssystem,easy
4,Welches Recht gehört zu den Grundrechten in Deutschland?,"[""Waffenbesitz"", ""Faustrecht"", ""Meinungsfreiheit"", ""Selbstjustiz""]",Meinungsfreiheit,Grundrechte,easy
5,Wahlen in Deutschland sind frei. Was bedeutet das?,"[""Man darf Geld annehmen, wenn man daf\u00fcr eine bestimmte Kandidatin/einen bestimmten Kandidaten w\u00e4hlt."", ""Nur Personen, die noch nie im Gef\u00e4ngnis waren, d\u00fcrfen w\u00e4hlen."", ""Die W\u00e4hlerin/der W\u00e4hler darf bei der Wahl weder beeinflusst noch zu einer bestimmten Stimmabgabe gezwungen werden und keine Nachteile durch die Wahl haben."", ""Alle wahlberechtigten Personen m\u00fcssen w\u00e4hlen.""]",Die Wählerin/der Wähler darf bei der Wahl weder beeinflusst noch zu einer bestimmten Stimmabgabe gezwungen werden und keine Nachteile durch die Wahl haben.,Demokratie und Wahlen,medium
6,Wie heißt die deutsche Verfassung?,"[""Volksgesetz"", ""Bundesgesetz"", ""Deutsches Gesetz"", ""Grundgesetz""]",Grundgesetz,Grundrechte,easy
7,"Welches Recht gehört zu den Grundrechten, die nach der deutschen Verfassung garantiert werden? Das Recht auf ...","[""Glaubens- und Gewissensfreiheit"", ""Unterhaltung"", ""Arbeit"", ""Wohnung""]",Glaubens- und Gewissensfreiheit,Grundrechte,easy
8,Was steht nicht im Grundgesetz von Deutschland?,"[""Die W\u00fcrde des Menschen ist unantastbar."", ""Alle sollen gleich viel Geld haben."", ""Jeder Mensch darf seine Meinung sagen."", ""Alle sind vor dem Gesetz gleich.""]",Alle sollen gleich viel Geld haben.,Grundrechte,medium
9,Welches Grundrecht gilt in Deutschland nur für Ausländerinnen/Ausländer? Das Grundrecht auf ...,"[""Schutz der Familie"", ""Menschenw\u00fcrde"", ""Asyl"", ""Meinungsfreiheit""]",Asyl,Grundrechte,medium
10,Was ist mit dem deutschen Grundgesetz vereinbar?,"[""die Pr\u00fcgelstrafe"", ""die Folter"", ""die Todesstrafe"", ""die Geldstrafe""]",die Geldstrafe,Grundrechte,easy
11,Wie wird die Verfassung der Bundesrepublik Deutschland genannt?,"[""Grundgesetz"", ""Bundesverfassung"", ""Gesetzbuch"", ""Verfassungsvertrag""]",Grundgesetz,Grundrechte,easy
12,Eine Partei im Deutschen Bundestag will die Pressefreiheit abschaffen. Ist das möglich?,"[""Ja, wenn mehr als die H\u00e4lfte der Abgeordneten im Bundestag daf\u00fcr sind."", ""Ja, aber dazu m\u00fcssen zwei Drittel der Abgeordneten im Bundestag daf\u00fcr sein."", ""Nein, denn die Pressefreiheit ist ein Grundrecht. Sie kann nicht abgeschafft werden."", ""Nein, denn nur der Bundesrat kann die Pressefreiheit abschaffen.""]","Nein, denn die Pressefreiheit ist ein Grundrecht. Sie kann nicht abgeschafft werden.",Grundrechte,hard
13,Im Parlament steht der Begriff 'Opposition' für ...,"[""die regierenden Parteien."", ""die Fraktion mit den meisten Abgeordneten."", ""alle Parteien, die bei der letzten Wahl die 5%-H\u00fcrde erreichen konnten."", ""alle Abgeordneten, die nicht zu der Regierungspartei/den Regierungsparteien geh\u00f6ren.""]","alle Abgeordneten, die nicht zu der Regierungspartei/den Regierungsparteien gehören.",Demokratie und Wahlen,medium
14,"Meinungsfreiheit in Deutschland heißt, dass ich ...","[""Passanten auf der Stra\u00dfe beschimpfen darf."", ""meine Meinung im Internet \u00e4u\u00dfern kann."", ""Nazi-, Hamas- oder Islamischer Staat-Symbole \u00f6ffentlich tragen darf."", ""meine Meinung nur dann \u00e4u\u00dfern darf, solange ich der Regierung nicht widerspreche.""]",meine Meinung im Internet äußern kann.,Grundrechte,medium
15,Was verbietet das deutsche Grundgesetz?,"[""Milit\u00e4rdienst"", ""Zwangsarbeit"", ""freie Berufswahl"", ""Arbeit im Ausland""]",Zwangsarbeit,Grundrechte,medium
16,Wann ist die Meinungsfreiheit in Deutschland eingeschränkt?,"[""bei der \u00f6ffentlichen Verbreitung falscher Behauptungen \u00fcber einzelne Personen"", ""bei Meinungs\u00e4u\u00dferungen \u00fcber die Bundesregierung"", ""bei Diskussionen \u00fcber Religionen"", ""bei Kritik am Staat""]",bei der öffentlichen Verbreitung falscher Behauptungen über einzelne Personen,Grundrechte,hard
17,Die deutschen Gesetze verbieten ...,"[""Meinungsfreiheit der Einwohnerinnen und Einwohner."", ""Petitionen der B\u00fcrgerinnen und B\u00fcrger."", ""Versammlungsfreiheit der Einwohnerinnen und Einwohner."", ""Ungleichbehandlung der B\u00fcrgerinnen und B\u00fcrger durch den Staat.""]",Ungleichbehandlung der Bürgerinnen und Bürger durch den Staat.,Grundrechte,medium
18,Welches Grundrecht ist in Artikel 1 des Grundgesetzes der Bundesrepublik Deutschland garantiert?,"[""die Unantastbarkeit der Menschenw\u00fcrde"", ""das Recht auf Leben"", ""Religionsfreiheit"", ""Meinungsfreiheit""]",die Unantastbarkeit der Menschenwürde,Grundrechte,easy
19,Was versteht man unter dem Recht der 'Freizügigkeit' in Deutschland?,"[""Man darf sich seinen Wohnort selbst aussuchen."", ""Man kann seinen Beruf wechseln."", ""Man darf sich f\u00fcr eine andere Religion entscheiden."", ""Man darf sich in der \u00d6ffentlichkeit nur leicht bekleidet bewegen.""]",Man darf sich seinen Wohnort selbst aussuchen.,Grundrechte,easy
20,"Eine Partei in Deutschland verfolgt das Ziel, eine Diktatur zu errichten. Sie ist dann ...","[""tolerant."", ""rechtsstaatlich orientiert."", ""gesetzestreu."", ""verfassungswidrig.""]",verfassungswidrig.,Demokratie und Wahlen,medium
21,Welches ist das Wappen der Bundesrepublik Deutschland?,"[""Bild 1"", ""Bild 2"", ""Bild 3"", ""Bild 4""]",Bild 1,Allgemein,easy
22,Was für eine Staatsform hat Deutschland?,"[""Monarchie"", ""Diktatur"", ""Republik"", ""F\u00fcrstentum""]",Republik,Allgemein,easy
23,In Deutschland sind die meisten Erwerbstätigen ...,"[""in kleinen Familienunternehmen besch\u00e4ftigt."", ""ehrenamtlich f\u00fcr ein Bundesland t\u00e4tig."", ""selbstst\u00e4ndig mit einer eigenen Firma t\u00e4tig."", ""bei einer Firma oder Beh\u00f6rde besch\u00e4ftigt.""]",bei einer Firma oder Behörde beschäftigt.,Kultur und Gesellschaft,easy
24,Wie viele Bundesländer hat die Bundesrepublik Deutschland?,"[""14"", ""15"", ""16"", ""17""]",16,Geografie,easy
25,Was ist kein Bundesland der Bundesrepublik Deutschland?,"[""Elsass-Lothringen"", ""Nordrhein-Westfalen"", ""Mecklenburg-Vorpommern"", ""Sachsen-Anhalt""]",Elsass-Lothringen,Geografie,easy
26,Deutschland ist ...,"[""eine kommunistische Republik."", ""ein demokratischer und sozialer Bundesstaat."", ""eine kapitalistische und soziale Monarchie."", ""ein sozialer und sozialistischer Bundesstaat.""]",ein demokratischer und sozialer Bundesstaat.,Allgemein,easy
27,Deutschland ist ...,"[""ein sozialistischer Staat."", ""ein Bundesstaat."", ""eine Diktatur."", ""eine Monarchie.""]",ein Bundesstaat.,Föderalismus,easy
28,Wer wählt in Deutschland die Abgeordneten zum Bundestag?,"[""das Milit\u00e4r"", ""die Wirtschaft"", ""das wahlberechtigte Volk"", ""die Verwaltung""]",das wahlberechtigte Volk,Demokratie und Wahlen,easy
29,Welches Tier ist das Wappentier der Bundesrepublik Deutschland?,"[""L\u00f6we"", ""Adler"", ""B\u00e4r"", ""Pferd""]",Adler,Allgemein,easy
30,Was ist kein Merkmal unserer Demokratie?,"[""regelm\u00e4\u00dfige Wahlen"", ""Pressezensur"", ""Meinungsfreiheit"", ""verschiedene Parteien""]",Pressezensur,Demokratie und Wahlen,easy
31,Die Zusammenarbeit von Parteien zur Bildung einer Regierung nennt man in Deutschland ...,"[""Einheit."", ""Koalition."", ""Ministerium."", ""Fraktion.""]",Koalition.,Demokratie und Wahlen,easy
32,Was ist keine staatliche Gewalt in Deutschland?,"[""Gesetzgebung"", ""Regierung"", ""Presse"", ""Rechtsprechung""]",Presse,Rechtssystem,medium
33,Welche Aussage ist richtig? In Deutschland ...,"[""sind Staat und Religionsgemeinschaften voneinander getrennt."", ""bilden die Religionsgemeinschaften den Staat."", ""ist der Staat abh\u00e4ngig von den Religionsgemeinschaften."", ""bilden Staat und Religionsgemeinschaften eine Einheit.""]",sind Staat und Religionsgemeinschaften voneinander getrennt.,Grundrechte,medium
34,Was ist Deutschland nicht?,"[""eine Demokratie"", ""ein Rechtsstaat"", ""eine Monarchie"", ""ein Sozialstaat""]",eine Monarchie,Allgemein,easy
35,Womit finanziert der deutsche Staat die Sozialversicherung?,"[""Kirchensteuer"", ""Sozialabgaben"", ""Spendengeldern"", ""Vereinsbeitr\u00e4gen""]",Sozialabgaben,Kultur und Gesellschaft,easy
