ID,Language,Explanation,Key_Concept,Mnemonic,Review_Status,Reviewer_Comments
1,EN,"The correct answer is D, ""hier Meinungsfreiheit gilt"" (freedom of speech applies here).  Germany's Basic Law (Grundgesetz), specifically Article 5, guarantees freedom of expression. This right allows individuals to openly criticize the government without fear of censorship or legal repercussions. This principle is a cornerstone of German democracy, born from the historical experience of oppression under Nazi rule, where dissent was suppressed.  It fosters open dialogue and allows for public discourse, which are essential for a healthy democracy.","This question tests the understanding of freedom of speech (Meinungsfreiheit) as a fundamental right in German democracy. It examines the relationship between individual liberties and the government, highlighting the ability to express dissent as essential for a functioning democratic society.","Think ""**M**einungsfreiheit = **M**y right to speak out.""",,
1,DE,"Die richtige Antwort ist D, ""hier Meinungsfreiheit gilt"". Artikel 5 des Grundgesetzes garantiert die Meinungsfreiheit. Dieses Recht erlaubt es den Menschen, die Regierung offen zu kritisieren, ohne Zensur oder rechtliche Konsequenzen befürchten zu müssen.  Dieses Prinzip ist ein Eckpfeiler der deutschen Demokratie, entstanden aus den Erfahrungen der Unterdrückung in der NS-Zeit. Es fördert den offenen Dialog und ermöglicht öffentliche Diskurse, die für eine gesunde Demokratie unerlässlich sind.",Diese Frage prüft das Verständnis der Meinungsfreiheit als Grundrecht in der deutschen Demokratie. Sie untersucht das Verhältnis zwischen individuellen Freiheiten und der Regierung und hebt die Fähigkeit zur Meinungsäußerung als wesentlich für eine funktionierende demokratische Gesellschaft hervor.,"Denken Sie an ""**M**einungsfreiheit = **M**ein Recht, meine Meinung zu sagen.""",,
1,TR,"Doğru cevap D, ""burada ifade özgürlüğü geçerlidir"". Almanya'nın Temel Yasası'nın (Grundgesetz) 5. Maddesi, ifade özgürlüğünü garanti eder. Bu hak, bireylerin sansür veya yasal sonuçlardan korkmadan hükümeti açıkça eleştirmelerine olanak tanır. Bu ilke, muhalif görüşlerin bastırıldığı Nazi yönetimi altındaki baskı deneyiminden doğan Alman demokrasisinin temel taşlarından biridir. Açık diyaloğu ve sağlıklı bir demokrasi için gerekli olan kamuoyu tartışmasını teşvik eder.","Bu soru, Alman demokrasisinde temel bir hak olarak ifade özgürlüğünün (Meinungsfreiheit) anlaşılmasını test eder. Bireysel özgürlükler ve hükümet arasındaki ilişkiyi inceler ve işleyen bir demokratik toplum için muhalif görüşlerin ifade edilmesinin önemini vurgular.","Şunu düşünün: ""**M**einungsfreiheit = **M** benim konuşma hakkım.""",,
1,UK,"Правильна відповідь D, ""тут діє свобода слова"". Стаття 5 Основного Закону Німеччини (Grundgesetz) гарантує свободу висловлювання. Це право дозволяє людям відкрито критикувати уряд, не боячись цензури чи правових наслідків. Цей принцип є наріжним каменем німецької демократії, що виник внаслідок історичного досвіду гноблення за нацистського режиму, де інакодумство придушувалося. Він сприяє відкритому діалогу та дозволяє публічні дискусії, які є важливими для здорової демократії.","Це питання перевіряє розуміння свободи слова (Meinungsfreiheit) як фундаментального права в німецькій демократії. Воно досліджує взаємозв'язок між індивідуальними свободами та урядом, підкреслюючи здатність висловлювати незгоду як важливу складову функціонуючого демократичного суспільства.","Подумайте: ""**M**einungsfreiheit = **M**оє право висловлюватися.""",,
1,AR,"الإجابة الصحيحة هي د، ""يسري هنا حرية التعبير"". يكفل المبدأ 5 من القانون الأساسي الألماني (Grundgesetz) حرية التعبير. يسمح هذا الحق للأفراد بانتقاد الحكومة علانيةً دون خوف من الرقابة أو العواقب القانونية. يمثل هذا المبدأ حجر الزاوية في الديمقراطية الألمانية، والذي نشأ من التجربة التاريخية للقمع في ظل الحكم النازي، حيث تم قمع المعارضة. إنه يعزز الحوار المفتوح ويسمح بالخطاب العام، وهما أمران أساسيان لديمقراطية صحية.",يختبر هذا السؤال فهم حرية التعبير (Meinungsfreiheit) كحق أساسي في الديمقراطية الألمانية. يبحث في العلاقة بين الحريات الفردية والحكومة، مسلطًا الضوء على القدرة على التعبير عن المعارضة كأمر أساسي لمجتمع ديمقراطي فعال.,"فكر في ""**M**einungsfreiheit = **M** حقي في الكلام.""",,
21,EN,"Image A is the correct answer. It displays the *Bundesadler*, the Federal Eagle, which is the coat of arms of the Federal Republic of Germany.  It features a black eagle on a gold background, with its head turned to the right, wings spread, and feathers detailed. This symbol represents Germany's sovereignty and unity.  Understanding the national symbols is a key part of integrating into German society and demonstrates respect for the country's history and culture.","The *Bundesadler* (Federal Eagle) is the official coat of arms of Germany, symbolizing its history, sovereignty, and unity.","Think ""Eagle = Germany"" to remember the *Bundesadler*.",,
21,DE,"Bild A ist die richtige Antwort. Es zeigt den *Bundesadler*, das Wappen der Bundesrepublik Deutschland. Er ist ein schwarzer Adler auf goldenem Grund, mit dem Kopf nach rechts gewandt, ausgebreiteten Flügeln und detaillierten Federn. Dieses Symbol steht für die Souveränität und Einheit Deutschlands. Das Verständnis der nationalen Symbole ist ein wichtiger Bestandteil der Integration in die deutsche Gesellschaft und zeigt Respekt vor der Geschichte und Kultur des Landes.","Der *Bundesadler* ist das offizielle Wappen Deutschlands und symbolisiert seine Geschichte, Souveränität und Einheit.","Denken Sie ""Adler = Deutschland"", um sich an den *Bundesadler* zu erinnern.",,
21,TR,"Doğru cevap A resmi. Almanya Federal Cumhuriyeti'nin arması olan *Bundesadler*'ı, yani Federal Kartal'ı gösteriyor.  Altın zemin üzerine, başı sağa dönük, kanatları açık ve tüyleri detaylı bir şekilde çizilmiş siyah bir kartal bulunuyor. Bu sembol, Almanya'nın egemenliğini ve birliğini temsil ediyor. Ulusal sembolleri anlamak, Alman toplumuna entegrasyonun önemli bir parçasıdır ve ülkenin tarihine ve kültürüne saygı gösterir.","*Bundesadler* (Federal Kartal), Almanya'nın resmi armasıdır ve tarihini, egemenliğini ve birliğini simgeler.","*Bundesadler*'ı hatırlamak için ""Kartal = Almanya"" diye düşünün.",,
21,UK,"Зображення A є правильною відповіддю. Воно показує *Bundesadler*, Федерального Орла, який є гербом Федеративної Республіки Німеччина. Він являє собою чорного орла на золотому фоні, з головою, повернутою праворуч, розпростертими крилами та деталізованим пір'ям. Цей символ представляє суверенітет та єдність Німеччини. Розуміння національних символів є ключовою частиною інтеграції в німецьке суспільство та демонструє повагу до історії та культури країни.","*Bundesadler* (Федеральний Орел) є офіційним гербом Німеччини, що символізує її історію, суверенітет та єдність.","Подумайте «Орел = Німеччина», щоб запам'ятати *Bundesadler*.",,
21,AR,الصورة A هي الإجابة الصحيحة. تُظهر *Bundesadler*، النسر الفيدرالي، وهو شعار النبالة لجمهورية ألمانيا الاتحادية. يتميز بنسر أسود على خلفية ذهبية، رأسه متجه إلى اليمين، أجنحته مفتوحة، وريشه مفصل. يمثل هذا الرمز سيادة ألمانيا ووحدتها. يُعد فهم الرموز الوطنية جزءًا أساسيًا من الاندماج في المجتمع الألماني ويُظهر احترامًا لتاريخ وثقافة البلد.,*Bundesadler* (النسر الفيدرالي) هو شعار النبالة الرسمي لألمانيا، ويرمز إلى تاريخها وسيادتها ووحدتها.,"فكر في ""النسر = ألمانيا"" لتتذكر *Bundesadler*.",,
